,actual,estimate,period,symbol
0,3.37,0.9191,2020-09-30,SNE
1,1.72,0.4444,2020-06-30,SNE
2,0.1,0.1212,2020-03-31,SNE
3,1.68,1.2827,2019-12-31,SNE
0,1.62,1.0302,2020-09-30,TAP
1,1.55,0.6868000000000001,2020-06-30,TAP
2,0.35,0.33330000000000004,2020-03-31,TAP
3,1.02,0.7878000000000001,2019-12-31,TAP
0,-0.28,-0.2652,2020-12-31,SNOW
0,0.65,0.1938,2020-09-30,F
1,-0.35,-1.1934,2020-06-30,F
2,-0.23,-0.1224,2020-03-31,F
3,0.12,0.153,2019-12-31,F
0,1.21,-0.3264,2020-09-30,R
1,-0.95,-1.3158,2020-06-30,R
2,-1.38,-0.7956000000000001,2020-03-31,R
3,-0.01,0.0306,2019-12-31,R
0,1.21,1.0403,2020-09-30,NOW
1,1.23,1.0201,2020-06-30,NOW
2,1.05,0.9594999999999999,2020-03-31,NOW
3,0.96,0.8787,2019-12-31,NOW
0,1.27,0.4343,2020-09-30,TTD
1,0.92,0.17170000000000002,2020-06-30,TTD
2,0.9,0.42419999999999997,2020-03-31,TTD
3,1.49,1.1817,2019-12-31,TTD
0,2.57,2.4582,2020-09-30,ADBE
1,2.45,2.3766000000000003,2020-06-30,ADBE
2,2.27,2.2746,2020-03-31,ADBE
3,2.29,2.3051999999999997,2019-12-31,ADBE
0,0.05,0.0102,2020-09-30,DDOG
1,0.05,0.0102,2020-06-30,DDOG
2,0.06,-0.0102,2020-03-31,DDOG
3,0.03,-0.0204,2019-12-31,DDOG
0,-0.04,-0.0102,2020-09-30,FSLY
1,0.02,-0.0102,2020-06-30,FSLY
2,-0.06,-0.1224,2020-03-31,FSLY
3,-0.1,-0.11220000000000001,2019-12-31,FSLY
